city;area;rooms;bathroom;parking spaces;floor;animal;furniture;hoa (R$);property tax (R$);fire insurance (R$);rent amount (R$)
São Paulo;75;3;2;1;21;acept;not furnished;501;28;37;2900
São Paulo;75;3;1;1;-;acept;not furnished;0;0;38;2470
São Paulo;72;3;2;1;12;acept;not furnished;880;114;24;1830
São Paulo;160;3;3;4;3;acept;not furnished;2300;92;64;5000
São Paulo;150;3;4;2;-;not acept;not furnished;0;0;52;3400
São Paulo;224;4;4;3;2;acept;furnished;2900;917;119;9350
São Paulo;540;4;3;5;-;acept;furnished;1900;3534;211;14000
Rio de Janeiro;50;2;1;1;11;acept;not furnished;420;13;21;1600
Rio de Janeiro;80;2;2;1;5;acept;not furnished;928;59;19;1400
Belo Horizonte;190;3;2;2;6;acept;not furnished;1500;502;65;4850
São Paulo;160;3;2;2;1;acept;not furnished;1515;400;37;2900
Porto Alegre;92;3;1;0;1;acept;not furnished;600;42;27;1800
São Paulo;30;1;1;0;1;acept;not furnished;0;21;20;1550
Belo Horizonte;268;4;4;3;3;acept;not furnished;700;250;45;2700
São Paulo;40;1;1;0;9;acept;not furnished;299;30;17;1300
Rio de Janeiro;186;3;1;0;10;acept;not furnished;1500;364;20;1500
São Paulo;100;2;2;1;-;acept;not furnished;0;321;73;4800
São Paulo;120;3;4;2;15;not acept;not furnished;2011;566;51;4009
São Paulo;160;2;3;2;-;acept;not furnished;1950;413;178;14000
São Paulo;224;4;5;2;-;acept;not furnished;0;731;58;3800
São Paulo;33;2;1;0;12;acept;not furnished;260;0;26;2000
São Paulo;360;4;5;4;-;not acept;furnished;0;917;151;10000
Porto Alegre;444;3;6;4;3;acept;not furnished;3000;959;66;4500
São Paulo;93;3;2;2;7;acept;not furnished;750;84;28;2200
São Paulo;49;1;2;0;1;acept;not furnished;0;0;17;1300
São Paulo;90;1;1;1;1;acept;not furnished;200;67;17;1300
Porto Alegre;96;3;2;2;4;acept;furnished;730;70;49;3298
Porto Alegre;98;2;2;0;2;not acept;not furnished;475;70;24;1600
São Paulo;240;3;4;3;-;acept;not furnished;0;325;91;6000
Belo Horizonte;45;2;1;1;4;acept;not furnished;200;50;12;850
Campinas;50;2;1;1;1;acept;not furnished;0;200;11;800
Rio de Janeiro;160;3;2;1;4;acept;not furnished;1910;529;58;4500
Porto Alegre;67;3;2;1;3;acept;not furnished;350;60;18;1230
Belo Horizonte;205;4;2;4;-;acept;not furnished;0;150;66;3990
São Paulo;25;1;1;0;-;not acept;not furnished;0;0;10;600
São Paulo;167;3;3;3;19;acept;furnished;1500;542;36;2800
Campinas;50;1;1;1;1;acept;not furnished;650;69;12;900
São Paulo;104;2;2;2;8;acept;not furnished;1800;380;53;4150
Porto Alegre;40;1;1;1;4;acept;not furnished;200;5;10;650
Belo Horizonte;135;4;2;1;2;acept;not furnished;600;138;30;2200
São Paulo;210;3;2;2;-;acept;not furnished;0;500;42;2780
Campinas;70;2;1;1;7;acept;not furnished;700;0;17;1300
São Paulo;200;3;3;1;5;acept;not furnished;1750;167;41;3200
São Paulo;300;4;4;4;1;acept;not furnished;1700;917;32;2500
Rio de Janeiro;155;4;3;1;3;not acept;furnished;1450;350;111;8600
São Paulo;281;4;4;8;-;acept;furnished;0;847;151;10000
São Paulo;23;1;1;0;23;acept;not furnished;383;40;26;2050
São Paulo;80;1;1;1;5;acept;furnished;1;0;92;7200
Porto Alegre;99;3;2;0;3;acept;not furnished;1450;112;16;1088
São Paulo;239;3;3;3;-;acept;not furnished;0;177;106;7000
São Paulo;356;3;4;4;-;not acept;not furnished;1900;709;136;9000
São Paulo;350;5;5;3;-;not acept;furnished;2300;630;135;10580
São Paulo;270;4;5;4;23;acept;not furnished;3550;1720;153;12000
São Paulo;200;4;4;1;1;not acept;not furnished;3200;834;49;3800
São Paulo;124;3;3;3;15;acept;not furnished;1560;709;47;3670
São Paulo;202;3;4;3;8;acept;furnished;2500;834;130;10250
São Paulo;40;1;1;0;2;acept;not furnished;1200;225;39;3000
São Paulo;230;2;2;3;10;acept;not furnished;2700;845;33;2550
Porto Alegre;45;1;1;1;4;acept;not furnished;300;21;9;595
São Paulo;23;1;1;1;26;acept;not furnished;472;59;30;2300
São Paulo;340;4;4;0;-;acept;not furnished;0;334;61;4000
São Paulo;342;5;6;5;-;not acept;not furnished;0;422;91;6000
São Paulo;93;2;2;2;2;acept;furnished;1166;325;70;5500
São Paulo;174;3;4;3;15;not acept;not furnished;2500;817;132;10400
Rio de Janeiro;95;2;3;2;6;acept;not furnished;1300;159;26;2000
São Paulo;104;2;2;2;4;not acept;furnished;930;34;40;3100
São Paulo;65;1;1;1;9;not acept;not furnished;1000;0;32;2500
São Paulo;90;1;1;0;-;acept;not furnished;0;109;34;2200
Rio de Janeiro;104;3;2;1;6;acept;not furnished;990;125;33;2500
São Paulo;78;2;2;2;12;acept;not furnished;450;0;35;2700
São Paulo;140;3;2;2;-;acept;not furnished;0;225;49;3200
São Paulo;50;2;2;1;10;acept;not furnished;380;0;25;1900
São Paulo;270;4;3;3;-;acept;not furnished;0;392;164;10900
Rio de Janeiro;131;2;1;0;6;acept;not furnished;600;128;11;790
Porto Alegre;69;2;2;1;-;acept;furnished;573;107;22;1500
São Paulo;630;4;6;4;-;not acept;not furnished;0;2667;185;12300
São Paulo;140;3;3;2;10;acept;not furnished;2000;167;65;5100
São Paulo;255;3;4;4;9;acept;furnished;1650;125;64;5000
São Paulo;187;4;3;2;7;acept;not furnished;2269;598;69;5430
Porto Alegre;120;3;2;1;2;acept;not furnished;0;25;15;1020
Porto Alegre;50;2;1;1;-;acept;not furnished;0;25;18;1000
São Paulo;190;3;3;1;3;acept;not furnished;2150;459;80;6300
São Paulo;16;1;1;0;1;not acept;not furnished;0;0;13;980
São Paulo;92;2;1;1;11;not acept;not furnished;0;0;87;6860
São Paulo;56;3;1;0;11;acept;furnished;296;30;25;1900
Belo Horizonte;58;1;2;2;7;acept;not furnished;304;100;19;1400
São Paulo;45;2;1;1;12;acept;not furnished;270;59;21;1620
Rio de Janeiro;70;2;2;1;3;acept;not furnished;690;0;11;850
Belo Horizonte;125;3;3;1;5;acept;not furnished;745;218;28;2100
São Paulo;79;3;2;0;2;acept;furnished;493;78;16;1250
Campinas;62;2;2;2;7;acept;not furnished;600;82;25;1900
Campinas;55;1;1;0;7;acept;not furnished;480;50;16;1200
São Paulo;84;2;2;0;12;acept;not furnished;747;0;20;1500
Campinas;58;2;2;2;15;acept;not furnished;400;100;28;2200
São Paulo;80;2;1;0;-;not acept;not furnished;0;100;22;1400
São Paulo;196;4;4;5;12;acept;not furnished;4600;1667;159;12500
São Paulo;326;3;4;4;12;acept;not furnished;2808;1605;83;6500
Belo Horizonte;54;2;1;2;2;acept;not furnished;114;120;12;900
Porto Alegre;62;1;1;0;3;acept;not furnished;150;13;14;900
São Paulo;72;2;1;1;2;not acept;furnished;510;100;18;1350
São Paulo;156;3;2;2;10;acept;not furnished;2322;385;96;7500
São Paulo;250;3;2;8;-;acept;not furnished;0;1360;98;6500
São Paulo;45;1;1;1;3;acept;furnished;900;158;32;2450
São Paulo;200;4;4;3;2;acept;furnished;3700;0;64;5000
Belo Horizonte;131;3;2;3;3;acept;furnished;586;351;37;2750
São Paulo;55;1;1;1;9;not acept;furnished;1400;184;37;2860
São Paulo;118;3;2;2;7;acept;furnished;1880;434;108;8500
São Paulo;300;3;4;1;-;acept;not furnished;0;542;68;4500
São Paulo;45;1;1;1;13;acept;not furnished;606;15;32;2500
Belo Horizonte;372;3;4;3;-;acept;not furnished;0;343;91;5500
São Paulo;55;1;1;1;6;not acept;furnished;642;0;21;1600
Campinas;55;2;1;1;1;acept;not furnished;350;80;18;1397
São Paulo;46;2;1;0;8;not acept;not furnished;2000;34;16;1230
São Paulo;24;1;1;1;-;not acept;not furnished;0;0;20;1310
São Paulo;52;2;1;1;4;acept;not furnished;0;0;19;1450
São Paulo;180;4;3;2;5;acept;not furnished;2650;667;70;5500
São Paulo;97;3;2;2;6;acept;not furnished;1055;325;25;1950
São Paulo;200;3;2;4;-;acept;not furnished;0;0;53;3500
São Paulo;67;2;2;2;12;acept;furnished;620;224;64;5000
Porto Alegre;101;2;1;2;2;acept;not furnished;750;300;24;1600
Belo Horizonte;240;4;4;3;5;acept;not furnished;0;0;62;4600
São Paulo;250;6;2;2;-;acept;not furnished;0;26;38;2472
Campinas;94;3;1;0;6;acept;not furnished;710;90;13;1000
São Paulo;50;1;1;0;5;acept;furnished;415;73;26;2000
Porto Alegre;74;2;2;2;5;acept;not furnished;600;0;37;2500
Campinas;105;2;1;1;5;acept;not furnished;900;77;18;1400
Porto Alegre;38;1;1;0;1;not acept;furnished;300;34;24;1600
São Paulo;50;2;1;1;2;acept;not furnished;420;0;15;1150
São Paulo;54;1;1;1;13;acept;furnished;612;0;18;2538
Rio de Janeiro;38;1;1;0;6;acept;not furnished;375;90;17;1290
Campinas;115;3;2;2;4;acept;not furnished;570;109;25;1948
Belo Horizonte;70;2;1;1;3;acept;not furnished;150;66;15;1100
Rio de Janeiro;102;3;4;3;3;acept;furnished;2000;459;75;5800
Porto Alegre;42;2;1;0;2;acept;not furnished;280;23;12;790
São Paulo;70;2;2;1;1;not acept;not furnished;280;138;13;1000
São Paulo;52;2;1;0;7;acept;not furnished;616;65;16;1200
São Paulo;800;4;5;8;-;acept;not furnished;0;2334;181;12000
São Paulo;40;1;1;1;5;acept;not furnished;350;0;23;1780
São Paulo;74;3;2;1;6;acept;not furnished;995;0;39;3000
Campinas;110;2;2;0;18;acept;furnished;960;218;54;4200
Campinas;56;1;1;1;18;acept;not furnished;616;40;11;800
Porto Alegre;46;1;1;1;1;acept;not furnished;190;15;19;1300
São Paulo;125;3;3;1;9;acept;not furnished;674;25;26;2000
Belo Horizonte;224;4;4;4;1;acept;furnished;2285;1199;114;8500
São Paulo;58;1;2;1;1;not acept;furnished;830;130;61;4800
São Paulo;400;6;6;8;15;acept;furnished;3000;1750;55;4335
São Paulo;58;1;1;1;17;acept;not furnished;610;89;21;1600
São Paulo;52;1;1;0;3;acept;furnished;425;0;42;3300
Porto Alegre;82;3;1;2;3;acept;not furnished;400;30;12;800
Belo Horizonte;180;4;3;4;9;acept;not furnished;2477;409;61;4550
São Paulo;58;2;2;1;2;acept;not furnished;940;94;16;1383
Belo Horizonte;600;5;3;6;-;acept;not furnished;0;1667;246;15000
Porto Alegre;59;2;2;1;2;not acept;not furnished;470;56;19;1250
São Paulo;280;3;5;2;-;acept;not furnished;0;625;106;7000
Porto Alegre;275;5;2;4;-;acept;not furnished;0;250;57;3200
Porto Alegre;58;2;1;2;8;acept;furnished;500;45;31;2100
São Paulo;170;3;2;2;4;acept;furnished;1970;900;115;9000
São Paulo;16;1;1;0;1;not acept;not furnished;0;9;11;850
Rio de Janeiro;192;3;2;1;-;acept;not furnished;0;350;69;4500
São Paulo;196;2;3;3;8;acept;not furnished;3210;73;70;5500
São Paulo;45;1;1;1;3;not acept;furnished;800;84;51;4000
São Paulo;40;1;1;0;3;acept;not furnished;300;0;14;1100
São Paulo;289;3;3;2;6;not acept;not furnished;2850;777;191;15000
Campinas;73;3;2;2;6;not acept;not furnished;812;204;20;1500
São Paulo;65;3;1;1;6;acept;furnished;550;20;25;1900
São Paulo;25;1;1;0;3;not acept;not furnished;327;27;15;1178
São Paulo;68;1;1;1;12;acept;furnished;4240;584;77;6000
São Paulo;512;4;6;5;8;acept;furnished;7774;2817;45;3500
São Paulo;100;3;3;2;7;acept;furnished;1058;379;42;3310
São Paulo;41;1;1;1;3;acept;furnished;534;133;36;2800
Rio de Janeiro;80;3;2;0;7;acept;not furnished;950;192;36;2720
São Paulo;53;1;1;0;3;not acept;not furnished;170;68;22;1680
Belo Horizonte;52;2;1;1;5;acept;furnished;253;66;19;1375
Belo Horizonte;130;3;2;2;4;acept;not furnished;930;260;30;2200
São Paulo;87;3;2;0;14;not acept;furnished;1078;0;45;3500
Campinas;55;2;1;1;3;acept;not furnished;344;20;13;950
Porto Alegre;68;1;1;1;1;not acept;furnished;445;70;19;1300
São Paulo;230;3;4;4;12;not acept;not furnished;2200;750;83;6500
Porto Alegre;75;3;2;1;5;acept;not furnished;441;90;23;1510
São Paulo;50;2;1;0;2;not acept;not furnished;1000;45;13;1000
São Paulo;465;4;4;4;3;acept;not furnished;4500;1167;83;6500
Campinas;346;5;5;2;-;acept;not furnished;0;407;58;3800
Campinas;113;3;3;2;4;acept;not furnished;1000;0;49;3804
Rio de Janeiro;75;1;2;1;3;acept;not furnished;1600;209;56;4300
São Paulo;125;3;3;2;2;acept;not furnished;2250;500;42;3250
São Paulo;35;1;1;0;1;not acept;not furnished;0;0;16;1230
São Paulo;34;1;1;0;9;acept;not furnished;310;55;59;4600
São Paulo;200;5;2;3;-;acept;not furnished;0;300;73;4800
São Paulo;215;4;4;3;6;acept;not furnished;3800;1084;44;3400
São Paulo;92;3;2;2;7;acept;not furnished;880;253;40;3100
Belo Horizonte;70;3;2;1;2;acept;not furnished;500;86;17;1250
São Paulo;61;2;1;0;1;not acept;not furnished;230;25;16;1220
São Paulo;37;1;1;0;6;acept;not furnished;555;37;14;1100
Rio de Janeiro;30;1;1;0;8;acept;not furnished;0;21;19;2600
Belo Horizonte;65;3;1;1;2;acept;not furnished;220;59;12;850
Porto Alegre;40;1;1;0;2;acept;furnished;0;4;24;1630
Porto Alegre;52;2;1;1;1;not acept;not furnished;205;18;11;750
São Paulo;39;1;1;1;15;acept;furnished;356;60;28;2200
São Paulo;350;3;3;8;-;acept;not furnished;0;1042;139;9240
Rio de Janeiro;70;2;1;0;10;not acept;furnished;800;200;38;2900
Campinas;140;3;3;2;8;acept;not furnished;1100;198;30;2330
São Paulo;70;2;1;0;-;acept;not furnished;0;42;16;999
Belo Horizonte;60;1;2;1;7;acept;not furnished;2200;0;30;2200
São Paulo;100;3;1;0;6;acept;furnished;805;120;50;3900
Porto Alegre;53;2;1;0;3;acept;not furnished;234;0;23;1560
São Paulo;170;2;3;3;6;not acept;furnished;2500;417;76;5950
Porto Alegre;270;3;2;2;-;acept;not furnished;0;213;42;2350
São Paulo;68;2;2;1;14;acept;not furnished;600;167;63;4900
São Paulo;58;2;2;2;10;acept;not furnished;770;70;19;1450
Campinas;73;3;2;1;9;acept;not furnished;635;100;21;1600
São Paulo;20;1;1;0;3;acept;furnished;602;130;23;1800
Porto Alegre;60;2;1;1;2;acept;not furnished;310;0;14;950
São Paulo;65;3;2;0;2;acept;furnished;1000;245;41;3200
Belo Horizonte;32;1;1;0;-;not acept;furnished;550;0;18;1300
Rio de Janeiro;80;2;2;0;8;acept;furnished;650;100;22;1700
Porto Alegre;50;1;1;0;1;acept;not furnished;0;80;10;650
São Paulo;65;2;2;1;3;acept;not furnished;650;209;36;2800
Porto Alegre;129;2;2;2;9;acept;furnished;1200;209;100;6800
São Paulo;145;2;2;1;3;acept;furnished;670;72;55;4300
Campinas;48;1;1;1;6;not acept;not furnished;565;0;10;736
São Paulo;38;1;1;1;12;acept;furnished;580;100;26;2000
Belo Horizonte;520;5;5;2;15;not acept;not furnished;1870;780;200;15000
Belo Horizonte;184;3;3;1;2;acept;not furnished;400;132;16;1200
São Paulo;130;2;3;2;4;not acept;not furnished;1600;417;51;4000
Rio de Janeiro;26;1;1;0;10;acept;not furnished;963;58;20;1500
São Paulo;350;7;4;2;-;not acept;not furnished;0;1250;121;8000
Porto Alegre;38;1;1;0;15;acept;not furnished;210;38;19;1300
Porto Alegre;194;2;3;0;3;acept;not furnished;700;333;49;3310
São Paulo;160;3;3;2;1;acept;furnished;1990;360;161;12650
Belo Horizonte;32;1;1;1;9;acept;not furnished;197;132;20;1500
Rio de Janeiro;175;4;1;0;-;acept;not furnished;0;197;33;2146
São Paulo;26;1;1;1;9;acept;furnished;1570;223;22;1700
Campinas;66;2;1;1;-;acept;furnished;340;47;14;1050
São Paulo;83;3;2;1;9;not acept;furnished;805;80;42;3300
São Paulo;50;1;1;0;3;acept;not furnished;360;0;36;2800
São Paulo;400;3;6;3;-;acept;not furnished;0;817;72;4780
São Paulo;30;1;1;1;3;acept;furnished;700;9;42;3300
São Paulo;92;3;2;1;3;acept;not furnished;1500;195;26;2000
Belo Horizonte;156;7;2;1;3;acept;not furnished;350;187;30;2200
São Paulo;150;3;4;3;4;acept;not furnished;2080;648;26;1980
Rio de Janeiro;25;1;1;0;4;acept;not furnished;50;0;8;550
Rio de Janeiro;60;2;1;1;14;acept;not furnished;742;236;19;1450
São Paulo;40;1;1;1;3;not acept;furnished;600;34;30;2300
São Paulo;180;4;4;2;2;acept;not furnished;2600;584;26;2000
São Paulo;230;3;2;3;-;not acept;not furnished;0;367;68;4500
São Paulo;70;2;2;0;6;acept;not furnished;900;50;24;1850
São Paulo;70;1;2;1;-;acept;not furnished;0;125;23;1500
São Paulo;380;4;4;2;-;acept;not furnished;0;1000;83;5500
Porto Alegre;80;2;2;2;21;acept;not furnished;1380;163;54;3670
Campinas;66;2;2;1;2;not acept;furnished;536;76;29;2270
São Paulo;86;2;1;1;5;acept;not furnished;995;0;32;2500
Porto Alegre;80;3;2;1;2;acept;not furnished;200;25;26;1739
Porto Alegre;84;3;2;1;1;acept;not furnished;750;109;24;1600
São Paulo;262;3;5;3;4;acept;not furnished;2130;1000;71;5525
Belo Horizonte;90;3;1;1;1;acept;not furnished;277;99;20;1430
Belo Horizonte;160;3;3;3;-;not acept;not furnished;0;350;74;4500
São Paulo;58;2;2;1;14;acept;not furnished;480;88;27;2100
São Paulo;165;3;3;2;3;acept;furnished;1663;502;77;6000
São Paulo;48;1;1;0;5;acept;not furnished;650;0;19;1490
São Paulo;112;3;2;3;-;acept;not furnished;0;32;50;3300
São Paulo;110;3;2;2;11;acept;not furnished;1179;205;45;3500
Belo Horizonte;72;2;2;2;14;acept;not furnished;568;375;71;5300
Rio de Janeiro;65;1;1;0;-;acept;not furnished;300;30;24;1800
Belo Horizonte;150;3;1;1;4;acept;not furnished;250;0;11;780
São Paulo;65;3;2;1;15;not acept;not furnished;500;29;25;1900
Porto Alegre;90;3;1;1;3;acept;not furnished;350;0;23;1550
Porto Alegre;66;2;2;0;4;acept;not furnished;250;0;24;1600
São Paulo;117;2;3;3;15;acept;not furnished;1500;560;115;9000
Rio de Janeiro;80;3;2;0;1;not acept;not furnished;978;180;37;2870
Rio de Janeiro;64;2;1;0;3;acept;not furnished;210;38;12;900
São Paulo;64;1;1;0;9;acept;not furnished;500;0;23;1750
São Paulo;55;1;1;0;-;acept;not furnished;0;0;25;1650
Porto Alegre;70;2;1;1;11;acept;not furnished;400;28;20;1350
São Paulo;74;2;3;2;26;acept;not furnished;450;40;41;3200
São Paulo;126;3;4;1;3;acept;not furnished;1980;309;51;4000
São Paulo;480;4;5;3;-;acept;not furnished;0;742;226;15000
Belo Horizonte;97;3;3;1;1;not acept;not furnished;320;109;18;1300
Porto Alegre;76;2;2;1;3;acept;not furnished;250;70;33;2200
Rio de Janeiro;102;3;1;1;5;acept;not furnished;1897;137;20;1500
Belo Horizonte;200;4;3;2;-;acept;not furnished;0;236;94;5700
São Paulo;38;1;1;0;-;acept;furnished;150;5;25;1900
São Paulo;400;4;5;3;3;acept;furnished;4670;1195;77;6000
São Paulo;200;3;1;2;-;acept;not furnished;0;0;46;3000
Belo Horizonte;80;3;2;0;5;not acept;not furnished;280;112;20;1500
Campinas;80;3;1;4;-;acept;not furnished;0;0;83;5500
Belo Horizonte;200;4;3;2;-;acept;not furnished;0;403;238;14500
São Paulo;36;1;1;0;8;not acept;not furnished;284;0;21;1650
São Paulo;151;3;3;3;1;acept;furnished;1800;750;51;3950
São Paulo;49;2;2;1;5;acept;not furnished;432;55;31;2400
São Paulo;51;1;1;0;9;acept;not furnished;367;84;22;1700
Porto Alegre;80;3;2;1;6;not acept;not furnished;557;84;40;2700
Campinas;55;2;1;1;1;acept;not furnished;422;90;12;870
São Paulo;110;2;2;1;1;acept;not furnished;550;121;35;2700
Belo Horizonte;30;1;1;1;2;not acept;furnished;0;0;12;860
Campinas;60;2;1;1;3;acept;not furnished;200;84;14;1100
São Paulo;830;2;2;2;-;acept;not furnished;0;159;31;2001
São Paulo;140;3;2;2;23;not acept;furnished;900;142;64;5000
Belo Horizonte;70;3;1;1;1;not acept;not furnished;190;0;16;1150
São Paulo;140;3;2;0;2;acept;not furnished;2450;542;89;7000
Rio de Janeiro;90;2;2;0;13;not acept;furnished;1002;70;78;6000
Rio de Janeiro;85;3;2;1;8;acept;not furnished;770;115;30;2300
Rio de Janeiro;150;3;3;1;1;not acept;not furnished;2400;334;52;4000
Rio de Janeiro;70;2;1;0;2;not acept;not furnished;150;30;13;950
São Paulo;205;3;3;4;8;acept;furnished;2700;788;108;8500
Belo Horizonte;167;4;3;3;4;not acept;not furnished;500;167;69;5140
Porto Alegre;47;1;1;1;1;not acept;furnished;400;0;33;2200
Porto Alegre;63;2;2;1;13;acept;not furnished;480;56;30;2000
Rio de Janeiro;18;1;1;0;14;not acept;not furnished;521;95;14;1040
Rio de Janeiro;187;2;3;3;14;acept;not furnished;1600;292;40;3100
São Paulo;79;3;2;2;3;acept;not furnished;995;146;28;2200
Porto Alegre;44;1;1;0;5;acept;not furnished;350;35;12;769
São Paulo;90;2;3;1;2;acept;not furnished;574;0;27;2100
São Paulo;220;4;2;1;2;not acept;not furnished;1340;17;77;6000
Campinas;100;2;1;0;16;acept;not furnished;550;61;12;900
São Paulo;120;3;4;3;4;acept;not furnished;1300;289;57;4440
Belo Horizonte;180;4;3;3;10;acept;not furnished;2397;520;60;4500
Rio de Janeiro;253;4;3;1;5;acept;not furnished;2000;600;39;3000
São Paulo;50;2;1;0;-;not acept;not furnished;0;50;14;900
Belo Horizonte;120;2;3;1;4;acept;not furnished;350;0;24;1800
São Paulo;220;4;2;2;3;not acept;not furnished;2560;650;102;8000
São Paulo;140;2;1;0;13;acept;not furnished;900;0;28;2200
Rio de Janeiro;180;4;2;2;3;not acept;not furnished;2043;409;97;7500
São Paulo;170;3;5;3;7;not acept;not furnished;2091;951;19;4500
São Paulo;250;5;3;6;-;acept;not furnished;0;2704;226;15000
Rio de Janeiro;70;1;2;1;3;acept;not furnished;1200;149;29;2200
Rio de Janeiro;60;1;1;0;1;acept;not furnished;350;0;13;1000
São Paulo;380;4;2;6;-;acept;not furnished;0;525;148;9800
São Paulo;32;1;1;1;3;not acept;furnished;480;0;28;2150
Porto Alegre;116;3;2;2;4;acept;not furnished;670;200;50;3400
Rio de Janeiro;19;1;1;0;3;acept;not furnished;310;45;7;500
Campinas;140;3;2;1;5;acept;not furnished;980;221;26;2000
São Paulo;500;4;3;5;-;not acept;furnished;0;84;181;12000
Porto Alegre;80;2;1;0;-;acept;not furnished;0;0;17;950
Rio de Janeiro;64;2;1;0;-;not acept;not furnished;0;78;26;1700
São Paulo;20;1;1;0;-;acept;furnished;0;0;27;2060
São Paulo;237;4;4;4;4;acept;not furnished;3100;1031;64;4990
São Paulo;190;4;4;3;17;acept;not furnished;2263;899;77;6000
Rio de Janeiro;28;1;1;0;2;acept;not furnished;200;0;21;1600
Campinas;46;2;1;1;3;not acept;not furnished;250;53;5;1100
Porto Alegre;120;3;2;2;2;not acept;not furnished;600;121;30;2000
São Paulo;76;2;1;1;-;acept;not furnished;0;45;31;2000
São Paulo;142;3;2;1;14;acept;not furnished;1950;194;108;8500
Rio de Janeiro;296;3;2;1;12;acept;not furnished;1400;848;174;13500
Belo Horizonte;365;4;6;6;-;acept;not furnished;490;459;214;13000
Rio de Janeiro;125;4;2;2;2;not acept;not furnished;1676;40;58;4500
Campinas;55;2;1;1;2;acept;not furnished;450;83;20;1550
São Paulo;400;6;4;3;-;acept;not furnished;0;2250;61;3999
São Paulo;50;1;1;0;-;acept;furnished;464;114;18;1190
São Paulo;36;1;1;0;6;acept;not furnished;423;47;34;2680
Porto Alegre;48;1;1;1;12;acept;furnished;950;0;37;2500
Porto Alegre;38;1;1;0;6;acept;furnished;530;34;13;850
Porto Alegre;94;1;1;1;2;acept;not furnished;700;250;71;4800
São Paulo;49;2;1;1;10;not acept;not furnished;513;0;24;1890
Rio de Janeiro;60;2;1;1;2;acept;not furnished;300;53;17;1300
Campinas;70;2;3;1;7;acept;not furnished;1196;0;26;2004
São Paulo;75;3;2;1;16;acept;not furnished;670;0;20;1539
São Paulo;54;1;1;0;8;acept;furnished;500;0;51;3949
São Paulo;50;1;1;0;11;acept;furnished;370;177;44;3398
Rio de Janeiro;81;2;3;2;7;not acept;furnished;1010;1800;71;5500
São Paulo;750;4;6;2;-;acept;not furnished;0;2041;226;15000
São Paulo;20;1;1;0;4;acept;furnished;602;130;23;1800
São Paulo;100;2;3;2;9;acept;not furnished;0;0;165;12960
São Paulo;49;1;1;1;1;not acept;not furnished;545;0;16;1200
São Paulo;20;1;1;0;1;not acept;not furnished;0;84;13;1000
Rio de Janeiro;80;2;1;0;3;acept;not furnished;871;94;8;600
Rio de Janeiro;156;3;2;3;9;acept;not furnished;1200;167;29;2200
São Paulo;287;3;3;4;-;acept;not furnished;900;900;68;4477
Belo Horizonte;130;4;4;3;16;not acept;not furnished;1778;529;70;5200
Porto Alegre;302;4;4;3;2;acept;not furnished;2100;750;132;8973
São Paulo;35;1;1;0;5;not acept;not furnished;400;50;23;1740
São Paulo;90;2;1;0;1;acept;not furnished;255;0;26;1990
São Paulo;81;2;1;1;4;not acept;not furnished;1121;340;50;3910
Rio de Janeiro;40;2;1;0;2;acept;not furnished;480;84;18;1417
São Paulo;60;2;1;1;4;acept;not furnished;750;77;7;1841
Rio de Janeiro;25;1;1;0;11;not acept;furnished;350;34;38;2928
São Paulo;700;5;7;5;-;acept;not furnished;0;2240;226;15000
São Paulo;237;3;5;3;8;acept;furnished;2200;917;70;5500
São Paulo;162;2;2;1;13;acept;not furnished;1804;545;64;5000
São Paulo;190;4;3;2;-;not acept;furnished;0;415;125;8311
Campinas;46;1;1;0;5;acept;furnished;1300;0;25;1950
São Paulo;172;3;4;3;1;acept;not furnished;1596;820;102;8000
São Paulo;236;4;5;5;5;acept;not furnished;2827;1261;64;5000
São Paulo;100;3;1;2;-;not acept;not furnished;0;84;25;1600
Belo Horizonte;80;1;1;0;11;acept;not furnished;350;0;14;1000
São Paulo;335;3;4;4;-;acept;furnished;0;650;94;6200
São Paulo;190;3;2;1;-;acept;not furnished;0;84;62;4100
Rio de Janeiro;207;4;3;1;5;acept;not furnished;1500;542;55;4240
Porto Alegre;72;2;2;1;3;acept;furnished;300;109;30;2000
Porto Alegre;102;3;2;1;9;acept;furnished;1050;125;59;4000
São Paulo;50;1;1;0;-;not acept;not furnished;0;17;14;880
São Paulo;150;3;4;0;4;acept;not furnished;1200;475;75;5900
Belo Horizonte;220;4;3;2;2;acept;not furnished;1200;271;47;3500
São Paulo;150;3;3;1;9;acept;not furnished;1700;305;165;13000
Rio de Janeiro;110;3;2;1;2;acept;not furnished;800;155;28;2100
São Paulo;300;4;4;4;19;acept;furnished;2800;1667;115;9000
Porto Alegre;29;1;1;0;2;acept;not furnished;148;15;21;1380
São Paulo;40;1;1;0;5;acept;not furnished;578;0;30;2300
São Paulo;500;4;5;3;-;not acept;furnished;550;3334;172;13500
São Paulo;45;1;1;1;2;acept;not furnished;565;0;30;2300
Rio de Janeiro;75;2;2;1;8;acept;not furnished;684;84;24;1800
São Paulo;80;2;2;1;9;acept;furnished;767;213;41;3200
Porto Alegre;65;2;1;0;5;acept;not furnished;550;34;13;850
São Paulo;400;5;5;4;-;acept;furnished;3200;817;93;6141
São Paulo;49;1;1;2;8;acept;furnished;2000;217;102;8000
São Paulo;70;2;1;0;12;acept;furnished;715;114;27;2100
São Paulo;130;4;2;6;-;acept;not furnished;0;512;92;6100
São Paulo;146;3;4;3;4;acept;not furnished;2100;584;77;6000
